country,admin2_gadm,crop,treatment,price_for_50pct,price_for_60pct,price_for_70pct,price_for_80pct,current_lime_price,price_change_50,price_change_60,price_change_70,price_change_80
Rwanda,Burera,Beans,7.5 t/ha,38.33333333333333,32.666666666666664,21.000000000000007,11.999999999999995,107,-64.17445482866044,-69.47040498442368,-80.37383177570094,-88.78504672897196
Rwanda,Burera,Maize,1 t/ha,195,195,195,170,107,82.2429906542056,82.2429906542056,82.2429906542056,58.87850467289719
Rwanda,Burera,Maize,2.5 t/ha,200,200,180,140,107,86.91588785046729,86.91588785046729,68.22429906542055,30.8411214953271
Rwanda,Burera,Maize,7.5 t/ha,110,90,75,62.5,107,2.803738317757009,-15.887850467289718,-29.906542056074763,-41.58878504672897
Rwanda,Ngororero,Beans,1 t/ha,85,13.000000000000007,5,5,107,-20.5607476635514,-87.85046728971963,-95.32710280373831,-95.32710280373831
Rwanda,Ngororero,Beans,2.5 t/ha,50,6.0000000000000036,0,0,107,-53.271028037383175,-94.39252336448598,-100,-100
Rwanda,Ngororero,Beans,7.5 t/ha,27.500000000000004,17.500000000000004,11.250000000000002,0,107,-74.29906542056075,-83.64485981308411,-89.48598130841121,-100
Rwanda,Ngororero,Maize,1 t/ha,195,195,166,127.99999999999997,107,82.2429906542056,82.2429906542056,55.140186915887845,19.62616822429904
Rwanda,Ngororero,Maize,2.5 t/ha,172.5,161,136,115.99999999999999,107,61.21495327102804,50.467289719626166,27.102803738317753,8.411214953271015
Rwanda,Ngororero,Maize,7.5 t/ha,65,56.4,50.8,44,107,-39.25233644859813,-47.28971962616823,-52.52336448598132,-58.87850467289719
Rwanda,Nyaruguru,Beans,1 t/ha,125,87.00000000000001,45.24999999999999,8,107,16.822429906542055,-18.691588785046715,-57.71028037383178,-92.5233644859813
Rwanda,Nyaruguru,Beans,2.5 t/ha,127.5,92.33333333333334,59,39.57142857142857,107,19.158878504672895,-13.707165109034259,-44.85981308411215,-63.0173564753004
Rwanda,Nyaruguru,Beans,7.5 t/ha,81.66666666666666,71.5,61.75,44,107,-23.676012461059198,-33.177570093457945,-42.28971962616823,-58.87850467289719
Rwanda,Nyaruguru,Maize,1 t/ha,200,169,122.50000000000003,63.999999999999986,107,86.91588785046729,57.943925233644855,14.485981308411242,-40.18691588785048
Rwanda,Nyaruguru,Maize,2.5 t/ha,200,199,175.5,138,107,86.91588785046729,85.98130841121495,64.01869158878505,28.971962616822427
Rwanda,Nyaruguru,Maize,7.5 t/ha,112.5,102,92.75,73.99999999999999,107,5.14018691588785,-4.672897196261682,-13.317757009345794,-30.841121495327116
Tanzania,Geita,Beans,1 t/ha,110,63.99999999999999,43,30.000000000000004,95,15.789473684210526,-32.631578947368425,-54.736842105263165,-68.42105263157895
Tanzania,Geita,Beans,2.5 t/ha,125,100.49999999999999,87.66666666666666,80.66666666666666,95,31.57894736842105,5.7894736842105115,-7.719298245614045,-15.087719298245625
Tanzania,Geita,Beans,7.5 t/ha,61.66666666666667,56,50.75,45.5,95,-35.08771929824561,-41.05263157894737,-46.578947368421055,-52.10526315789473
Tanzania,Geita,Maize,1 t/ha,170,170,91.00000000000001,35,95,78.94736842105263,78.94736842105263,-4.210526315789459,-63.1578947368421
Tanzania,Geita,Maize,2.5 t/ha,140,88.49999999999997,35.00000000000001,16.999999999999993,95,47.368421052631575,-6.842105263157924,-63.1578947368421,-82.10526315789474
Tanzania,Geita,Maize,7.5 t/ha,65,48,41,14.499999999999995,95,-31.57894736842105,-49.473684210526315,-56.84210526315789,-84.73684210526315
Tanzania,Mbozi,Beans,1 t/ha,140,119,78.00000000000001,51.99999999999999,95,47.368421052631575,25.263157894736842,-17.89473684210525,-45.26315789473685
Tanzania,Mbozi,Beans,2.5 t/ha,76.25,63.5,56.375,49,95,-19.736842105263158,-33.1578947368421,-40.6578947368421,-48.421052631578945
Tanzania,Mbozi,Beans,7.5 t/ha,40,33.333333333333336,26.666666666666668,20,95,-57.89473684210527,-64.91228070175438,-71.92982456140349,-78.94736842105263
Tanzania,Mbozi,Maize,1 t/ha,185,185,140.5,115.33333333333333,95,94.73684210526315,94.73684210526315,47.89473684210526,21.40350877192982
Tanzania,Mbozi,Maize,2.5 t/ha,161.25,126.99999999999997,97.00000000000001,63,95,69.73684210526315,33.68421052631576,2.105263157894752,-33.68421052631579
Tanzania,Mbozi,Maize,7.5 t/ha,75,58.99999999999999,51.75,34,95,-21.052631578947366,-37.89473684210527,-45.526315789473685,-64.21052631578948
