lime_tha,emmean,SE,df,lower.CL,upper.CL,admin2_gadm,crop
0.5,0.24275456391974237,0.08660321830994201,21.983198082295058,0.06314252256426894,0.4223666052752158,MisraqGojjam,Fababean
1,0.41373523522708644,0.0834723879689675,19.074343354952447,0.2390715959083393,0.5883988745458336,MisraqGojjam,Fababean
1.5,0.5633113328617045,0.08628666760472668,21.678740560777,0.3842098598067182,0.7424128059166909,MisraqGojjam,Fababean
2,0.6914828568235971,0.09187567181607027,27.366232282883868,0.5030875237801724,0.8798781898670218,MisraqGojjam,Fababean
2.5,0.7982498071127639,0.09779236051943861,33.97775808294606,0.5995070273801466,0.9969925868453813,MisraqGojjam,Fababean
3,0.883612183729205,0.10257264685079681,39.582633740207065,0.6762370189111586,1.0909873485472514,MisraqGojjam,Fababean
3.5,0.9475699866729204,0.10547211426913242,43.01956340577099,0.7348679938402264,1.1602719795056144,MisraqGojjam,Fababean
4,0.99012321594391,0.10622385339420197,43.90904495393052,0.776030580378708,1.204215851509112,MisraqGojjam,Fababean
4.5,1.0112718715421738,0.10492738096978703,42.37415858663936,0.7995752235555367,1.222968519528811,MisraqGojjam,Fababean
5,1.0110159534677128,0.10205381588577507,38.968582463545,0.804587305559804,1.2174446013756217,MisraqGojjam,Fababean
5.5,0.989355461720526,0.09854814889963089,34.85325197879101,0.7892619671258794,1.1894489563151727,MisraqGojjam,Fababean
6,0.9462903963006126,0.0959857249796784,31.9089518448078,0.7507519907291561,1.141828801872069,MisraqGojjam,Fababean
6.5,0.8818207572079744,0.096609857139052,32.619484448065066,0.6851793841694928,1.0784621302464559,MisraqGojjam,Fababean
7,0.7959465444426104,0.10289292294308149,39.96202082579094,0.5879860334367594,1.0039070554484613,MisraqGojjam,Fababean
0,-0.005452771705627635,0.06831756663667192,6.290717709393823,-0.17076491174722538,0.15985936833597011,Burera,Beans
0.5,0.10714977627234064,0.06589362149917058,5.429802220146344,-0.058280743928161446,0.2725802964728427,Burera,Beans
1,0.20929162170960913,0.0652752357888735,5.2248742073488375,0.04364533901291126,0.37493790440630703,Burera,Beans
1.5,0.30097276460617783,0.06583033125993838,5.4085602136542725,0.1355240053533083,0.46642152385904734,Burera,Beans
2,0.3821932049620468,0.06697250354224349,5.801464968519494,0.21694833055375787,0.5474380793703357,Burera,Beans
2.5,0.45295294277721604,0.06823681724958681,6.260517322306207,0.2876533188479779,0.6182525667064542,Burera,Beans
3,0.5132519780516855,0.06929766439319586,6.665895753753986,0.34770931468564037,0.6787946414177307,Burera,Beans
3.5,0.5630903107854554,0.06995752506850648,6.927599863607448,0.39731593870888904,0.7288646828620217,Burera,Beans
4,0.6024679409785253,0.07013057328143202,6.997464979013129,0.4366233070939316,0.768312574863119,Burera,Beans
4.5,0.6313848686308957,0.06983263133573457,6.877496165622991,0.4656588047112361,0.7971109325505553,Burera,Beans
5,0.6498410937425659,0.06918087757639994,6.6203471204443325,0.4843332425938268,0.815348944891305,Burera,Beans
5.5,0.6578366163135371,0.06840225089936479,6.322504953113292,0.4925102531516665,0.8231629794754076,Burera,Beans
6,0.6553714363438078,0.06784492744940523,6.11546540937974,0.4901177203818094,0.8206251523058061,Burera,Beans
6.5,0.642445553833379,0.06797974078286924,6.165081787485226,0.477178858936928,0.8077122487298299,Burera,Beans
7,0.6190589687822509,0.0693699542125083,6.694205252856428,0.45349380191162336,0.7846241356528784,Burera,Beans
0,0.021983248116302118,0.06477127766934496,5.273659816742175,-0.1419511690869776,0.18591766531958184,Ngororero,Beans
0.5,0.13458579609427035,0.06220930681207773,4.478772731725193,-0.031091368930695473,0.30026296111923617,Ngororero,Beans
1,0.23672764153153886,0.061553918697807394,4.290572586833069,0.07029576969992124,0.4031595133631565,Ngororero,Beans
1.5,0.32840878442810756,0.06214226430985968,4.459245171087614,0.16266094573965456,0.49415662311656056,Ngororero,Beans
2,0.4096292247839765,0.06335096471624604,4.821131097208049,0.2449462430752443,0.5743122064927088,Ngororero,Beans
2.5,0.4803889625991459,0.06468610150655808,5.245669483704809,0.316423241941987,0.6443546832563047,Ngororero,Beans
3,0.5406879978736153,0.06580421559531903,5.621964462147448,0.3770095598192517,0.7043664359279789,Ngororero,Beans
3.5,0.5905263306073851,0.06649875046550827,5.865529542966074,0.4269012073089446,0.7541514539058256,Ngororero,Beans
4,0.6299039608004551,0.06668077540450117,5.930632189834256,0.4662782546285727,0.7935296669723375,Ngororero,Beans
4.5,0.6588208884528255,0.06636734813924572,5.81886167717008,0.4951925173282242,0.8224492595774268,Ngororero,Beans
5,0.6772771135644958,0.06568121742175662,5.579622519139777,0.5135796657366032,0.8409745613923885,Ngororero,Beans
5.5,0.6852726361354669,0.06486059225649181,5.30312862338957,0.521369305202998,0.8491759670679357,Ngororero,Beans
6,0.6828074561657377,0.06427256553443544,5.111333970320249,0.5186661406378442,0.8469487716936311,Ngororero,Beans
6.5,0.6698815736553088,0.06441485586935165,5.15726559598648,0.5058051674240407,0.8339579798865768,Ngororero,Beans
7,0.6464949886041806,0.06588033885165406,5.648288478562214,0.4828268353288373,0.810163141879524,Ngororero,Beans
0,0.040804930360299974,0.07166126465886846,6.614300621438102,-0.13067086847561438,0.21228072919621432,Nyaruguru,Beans
0.5,0.1534074783382682,0.06935428101875318,5.765939310388632,-0.0179802933121897,0.3247952499887261,Nyaruguru,Beans
1,0.25554932377553674,0.06876702224646065,5.56334820635347,0.08402866856518162,0.42706997898589183,Nyaruguru,Beans
1.5,0.34723046667210544,0.06929415166625079,5.74495212797718,0.17583227710080776,0.5186286562434032,Nyaruguru,Beans
2,0.4284509070279745,0.07038013336210674,6.132696872547596,0.2571361686606586,0.5997656453952904,Nyaruguru,Beans
2.5,0.4992106448431437,0.07158428717047893,6.5846088876877555,0.3277517464186684,0.6706695432676191,Nyaruguru,Beans
3,0.5595096801176132,0.0725962342804644,6.982786721963949,0.387761043286289,0.7312583169489373,Nyaruguru,Beans
3.5,0.6093480128513831,0.07322637677137091,7.239434958469493,0.4373493375922183,0.7813466881105479,Nyaruguru,Beans
4,0.648725643044453,0.07339171785790517,7.307899289412112,0.47665310097279323,0.8207981851161128,Nyaruguru,Beans
4.5,0.6776425706968234,0.0731070676516619,7.190322793658215,0.5056951050847482,0.8495900363088986,Nyaruguru,Beans
5,0.6960987958084937,0.07248476228555141,6.938086305728994,0.5243890193395386,0.8678085722774487,Nyaruguru,Beans
5.5,0.7040943183794648,0.07174200212882079,6.645547518954514,0.5325998539806988,0.8755887827782308,Nyaruguru,Beans
6,0.7016291384097355,0.07121082166333396,6.441934859636605,0.5302395580801784,0.8730187187392926,Nyaruguru,Beans
6.5,0.6887032558993067,0.07133927458460884,6.490750124996837,0.5172922354859548,0.8601142763126586,Nyaruguru,Beans
7,0.6653166708481786,0.0726652426459697,7.0105642082799555,0.4935431505271133,0.8370901911692439,Nyaruguru,Beans
0,-0.01862187436422595,0.07207371339540695,7.200592252049818,-0.18809138358417166,0.15084763485571978,Mbozi,Beans
0.5,0.09398067361374231,0.06978036690733944,6.299153966072618,-0.07481923462177574,0.26278058184926034,Mbozi,Beans
1,0.1961225190510108,0.06919672433533118,6.083632547268479,0.02736686336253849,0.36487817473948314,Mbozi,Beans
1.5,0.2878036619475795,0.06972060502634682,6.276832178340401,0.11901086049011339,0.4565964634050456,Mbozi,Beans
2,0.36902410230344845,0.0708000457779678,6.689059827469208,0.20001799213763338,0.5380302124692635,Mbozi,Beans
2.5,0.4397838401186178,0.07199717688770811,7.169069813556787,0.27034810228945305,0.6092195779477826,Mbozi,Beans
3,0.5000828753930873,0.07300340089200198,7.591649425935662,0.3301474415807115,0.670018309205463,Mbozi,Beans
3.5,0.5499212081268571,0.07363005884254761,7.863862763222198,0.3796169855009307,0.7202254307527834,Mbozi,Beans
4,0.589298838319927,0.07379449546022114,7.936458692404497,0.418890985879001,0.7597066907608531,Mbozi,Beans
4.5,0.6182157659722974,0.07351140490236138,7.811781567895852,0.4479845813658028,0.7884469505787921,Mbozi,Beans
5,0.6366719910839677,0.07289255156521254,7.544225264767212,0.46679734063222633,0.806546641535709,Mbozi,Beans
5.5,0.6446675136549388,0.07215398935295289,7.233763765695871,0.4751618097977471,0.8141732175121306,Mbozi,Beans
6,0.6422023336852095,0.07162586426746655,7.017573037970658,0.47292001746233636,0.8114846499080827,Mbozi,Beans
6.5,0.6292764511747807,0.07175357418521171,7.06941183215106,0.4599433394374258,0.7986095629121356,Mbozi,Beans
7,0.6058898661236526,0.07307202473513531,7.62111754898007,0.43591611883147813,0.775863613415827,Mbozi,Beans
0,-0.055352259960731794,0.07661939842898428,7.9365083768615055,-0.2322832451722681,0.12157872525080451,Geita,Beans
0.5,0.05725028801723646,0.0744661779517329,7.032193323672491,-0.11867096028504494,0.23317153631951787,Geita,Beans
1,0.15939213345450493,0.07391954215061201,6.815085413793314,-0.01636584060174462,0.33515010751075447,Geita,Beans
1.5,0.2510732763510736,0.07441017953382581,7.009724506786363,0.075170631872231,0.42697592082991626,Geita,Beans
2,0.33229371670694263,0.07542253333837778,7.424053536262108,0.15599220688489326,0.508595226528992,Geita,Beans
