lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi,total_benefit,total_cost,bcr,bcr_lo,bcr_hi,roi
1,0.1579,0.0862,0.2296,Wheat,447.44000000000005,111.38584474885845,-40.73506874885844,-72.81651674885845,-8.65362074885843,46.84974424847779,-25.00264163568312,118.70213013263871,158.23558899733624,111.38584474885845,1.420607702478801,0.7755312473316824,2.06568415762592,42.060770247880114
1.5,0.2233,0.1236,0.323,Wheat,447.44000000000005,111.38584474885845,-67.16541512328764,-111.77518312328766,-22.555647123287628,56.69581820353429,-43.21607681251653,156.60771321958515,223.77458532682195,167.07876712328766,1.339335866428188,0.7413430948971073,1.9373286379592691,33.93358664281881
2,0.2797,0.1572,0.4022,Wheat,447.44000000000005,111.38584474885845,-97.62272149771688,-152.4341214977169,-42.811321497716875,57.522764223340374,-65.23758822867791,180.28311667535868,280.29445372105727,222.7716894977169,1.2582139784145683,0.7071549424625317,1.809273014366605,25.821397841456825
2.5,0.3271,0.1867,0.4674,Wheat,447.44000000000005,111.38584474885845,-132.1069878721461,-194.9275638721461,-69.3311558721461,49.33058230789624,-91.36781348200884,189.9287655651874,327.79519418004236,278.4646118721461,1.1771520696157465,0.6718871641616014,1.6820570997811064,17.715206961574644
3,0.3654,0.2123,0.5185,Wheat,447.44000000000005,111.38584474885845,-170.6629582465753,-239.16602224657532,-102.1598942465753,32.01905992458785,-121.4063275072816,185.4444473564572,366.1765941711632,334.1575342465753,1.0958202543503357,0.6366793650754686,1.5549611436252024,9.582025435033566
3.5,0.3947,0.2335,0.5558,Wheat,447.44000000000005,111.38584474885845,-213.24588862100455,-285.37321662100453,-141.16330462100456,5.688409606029097,-155.85419296756558,167.1307996470099,395.5388662270337,389.8504566210046,1.0145912605960061,0.6002205709378451,1.4287048964764637,1.4591260596006221
4,0.4149,0.2504,0.5795,Wheat,447.44000000000005,111.38584474885845,-259.9005229954338,-333.5044029954338,-186.25189899543375,-29.76158118039382,-194.61119733024697,135.18824750207324,415.78179781503997,445.5433789954338,0.9332016082306122,0.5632048269485305,1.3034233115681846,-6.679839176938781
4.5,0.4262,0.2625,0.5899,Wheat,447.44000000000005,111.38584474885845,-310.53737336986296,-383.78330136986295,-237.29144536986297,-74.13048736945319,-238.1784032583952,89.9174285194888,427.1058140004098,501.236301369863,0.8521047115564916,0.5248181294781301,1.179391293634853,-14.78952884435084
5,0.4284,0.2692,0.5875,Wheat,447.44000000000005,111.38584474885845,-365.2459277442922,-436.47837574429224,-294.0582237442922,-127.61873402637684,-287.15708594769364,31.819405362326165,429.3104897179154,556.9292237442922,0.7708528685774774,0.48439213870461467,1.0571336608059478,-22.914713142252264
5.5,0.4215,0.2697,0.5734,Wheat,447.44000000000005,111.38584474885845,-424.0261861187215,-491.9475781187215,-356.06005011872145,-190.22632115116463,-342.34894565905347,-38.00348411066193,422.39582496755685,612.6221461187215,0.6894883373767225,0.4411743881150701,0.9379658663150954,-31.05116626232775
6,0.4057,0.2625,0.5489,Wheat,447.44000000000005,111.38584474885845,-486.7886604931506,-550.8620684931507,-422.7152524931506,-261.7528236785888,-405.2571703816829,-118.24847697549468,406.56224481456184,668.3150684931506,0.6083391860836497,0.3936135971085976,0.8230647750587019,-39.16608139163504
6.5,0.3808,0.2451,0.5165,Wheat,447.44000000000005,111.38584474885845,-553.6228388675798,-614.3404468675799,-492.9052308675799,-342.39866667387724,-478.3870734309294,-206.41025991682525,381.60932419370266,724.0079908675799,0.5270788844974206,0.3392516664661706,0.7149061025286703,-47.29211155025794
7,0.3469,0.2139,0.4799,Wheat,447.44000000000005,111.38584474885845,-624.4839772420091,-683.9934972420092,-564.9744572420092,-432.06363760441616,-565.3463059808931,-298.7809692279391,347.637275637593,779.7009132420092,0.44585977742684885,0.2749190152539723,0.6168005395997256,-55.41402225731511
