crop,lime_tha,r_p,prob_profit,r_p_obs
Maize,2.5,3.25,0.7982228260869565,2.1857317239637872
Maize,2.5,3.5,0.8179130434782609,2.1857317239637872
Maize,2.5,3.75,0.8303858695652174,2.1857317239637872
Maize,2.5,4,0.8428641304347826,2.1857317239637872
Maize,2.5,4.25,0.8512934782608695,2.1857317239637872
Maize,2.5,4.5,0.8575923913043478,2.1857317239637872
Maize,2.5,4.75,0.8650380434782609,2.1857317239637872
Maize,2.5,5,0.8707663043478261,2.1857317239637872
Maize,2.5,5.25,0.8742826086956522,2.1857317239637872
Maize,2.5,5.5,0.8790434782608696,2.1857317239637872
Maize,2.5,5.75,0.8829565217391304,2.1857317239637872
Maize,2.5,6,0.8841032608695653,2.1857317239637872
Maize,2.5,6.25,0.8872228260869566,2.1857317239637872
Maize,2.5,6.5,0.889891304347826,2.1857317239637872
Maize,2.5,6.75,0.891429347826087,2.1857317239637872
Maize,2.5,7,0.8933260869565217,2.1857317239637872
Maize,2.5,7.25,0.8952771739130435,2.1857317239637872
Maize,2.5,7.5,0.8972336956521739,2.1857317239637872
Maize,2.5,7.75,0.8978478260869566,2.1857317239637872
Maize,2.5,8,0.9000054347826087,2.1857317239637872
Maize,2.5,8.25,0.9013097826086957,2.1857317239637872
Maize,2.5,8.5,0.9026902173913044,2.1857317239637872
Maize,2.5,8.75,0.9037336956521739,2.1857317239637872
Maize,2.5,9,0.9048260869565218,2.1857317239637872
Maize,2.5,9.25,0.9062989130434783,2.1857317239637872
Maize,2.5,9.5,0.9073152173913044,2.1857317239637872
Maize,2.5,9.75,0.9080434782608696,2.1857317239637872
Maize,2.5,10,0.9101413043478261,2.1857317239637872
Maize,7,0.5,0,2.1857317239637872
Maize,7,0.75,4.891304347826087e-5,2.1857317239637872
Maize,7,1,0.0027771739130434785,2.1857317239637872
Maize,7,1.25,0.013097826086956522,2.1857317239637872
Maize,7,1.5,0.034782608695652174,2.1857317239637872
Maize,7,1.75,0.06641304347826087,2.1857317239637872
Maize,7,2,0.10927717391304348,2.1857317239637872
Maize,7,2.25,0.15870652173913044,2.1857317239637872
Maize,7,2.5,0.2127826086956522,2.1857317239637872
Maize,7,2.75,0.2575923913043478,2.1857317239637872
Maize,7,3,0.3084130434782609,2.1857317239637872
Maize,7,3.25,0.3486413043478261,2.1857317239637872
Maize,7,3.5,0.3943586956521739,2.1857317239637872
Maize,7,3.75,0.42542391304347826,2.1857317239637872
Maize,7,4,0.46909782608695655,2.1857317239637872
Maize,7,4.25,0.5024782608695653,2.1857317239637872
Maize,7,4.5,0.5308478260869566,2.1857317239637872
Maize,7,4.75,0.5597880434782608,2.1857317239637872
Maize,7,5,0.5867771739130435,2.1857317239637872
Maize,7,5.25,0.6060597826086956,2.1857317239637872
Maize,7,5.5,0.6265434782608695,2.1857317239637872
Maize,7,5.75,0.652320652173913,2.1857317239637872
Maize,7,6,0.6701956521739131,2.1857317239637872
Maize,7,6.25,0.6941141304347827,2.1857317239637872
Maize,7,6.5,0.7033315217391304,2.1857317239637872
Maize,7,6.75,0.724483695652174,2.1857317239637872
Maize,7,7,0.7314347826086957,2.1857317239637872
Maize,7,7.25,0.7489130434782608,2.1857317239637872
Maize,7,7.5,0.765125,2.1857317239637872
Maize,7,7.75,0.7761902173913043,2.1857317239637872
Maize,7,8,0.7867173913043478,2.1857317239637872
Maize,7,8.25,0.7943695652173913,2.1857317239637872
Maize,7,8.5,0.8047391304347826,2.1857317239637872
Maize,7,8.75,0.8122010869565217,2.1857317239637872
Maize,7,9,0.8165380434782609,2.1857317239637872
Maize,7,9.25,0.8234130434782608,2.1857317239637872
Maize,7,9.5,0.829054347826087,2.1857317239637872
Maize,7,9.75,0.8366413043478261,2.1857317239637872
Maize,7,10,0.8410489130434783,2.1857317239637872
Soybean,1,0.5,0,5.1259655236025985
Soybean,1,0.75,2.4390243902439026e-5,5.1259655236025985
Soybean,1,1,0.003292682926829268,5.1259655236025985
Soybean,1,1.25,0.025585365853658535,5.1259655236025985
Soybean,1,1.5,0.07907317073170732,5.1259655236025985
Soybean,1,1.75,0.17019512195121952,5.1259655236025985
Soybean,1,2,0.2610487804878049,5.1259655236025985
Soybean,1,2.25,0.34853658536585364,5.1259655236025985
Soybean,1,2.5,0.435,5.1259655236025985
Soybean,1,2.75,0.5320731707317073,5.1259655236025985
Soybean,1,3,0.6070975609756097,5.1259655236025985
