crop,tau,tau_lab,lime_tha,yield_resp,profit_yr1,npv
Maize,0.8,Q80,2.4000000000000004,2.4681949475192684,333.5796642300585,1078.5143360051245
Maize,0.8,Q80,2.5,2.536394477294716,339.04490825322654,1104.563122012911
Maize,0.8,Q80,2.6,2.6018226529604687,343.835439584148,1129.1007631146374
Maize,0.8,Q80,2.7,2.6644794745165266,347.95125822282284,1152.127259310303
Maize,0.8,Q80,2.8000000000000003,2.724364941962889,351.39236416925064,1173.6426105999076
Maize,0.8,Q80,2.9000000000000004,2.7814790552995565,354.15875742343195,1193.6468169834518
Maize,0.8,Q80,3,2.8358218145265286,356.2504379853664,1212.1398784609348
Maize,0.8,Q80,3.1,2.8873932196438057,357.66740585505397,1229.1217950323569
Maize,0.8,Q80,3.2,2.9361932706513882,358.409661032495,1244.5925666977187
Maize,0.8,Q80,3.3000000000000003,2.982221967549276,358.47720351768936,1258.5521934570195
Maize,0.8,Q80,3.4000000000000004,3.025479310337468,357.87003331063687,1271.0006753102596
Maize,0.8,Q80,3.5,3.0659652990159647,356.58815041133755,1281.9380122574385
Maize,0.8,Q80,3.6,3.103679933584767,354.6315548197917,1291.3642042985573
Maize,0.8,Q80,3.7,3.1386232140438732,352.00024653599877,1299.2792514336145
Maize,0.8,Q80,3.8000000000000003,3.1707951403932855,348.6942255599593,1305.6831536626114
Maize,0.8,Q80,3.9000000000000004,3.2001957126330023,344.71349189167324,1310.5759109855476
Maize,0.8,Q80,4,3.2268249307630237,340.0580455311402,1313.9575234024226
Maize,0.8,Q80,4.1000000000000005,3.2506827947833505,334.72788647836046,1315.827990913237
Maize,0.8,Q80,4.2,3.2717693046939824,328.72301473333425,1316.1873135179912
Maize,0.8,Q80,4.3,3.2900844604949184,322.043430296061,1315.035491216684
Maize,0.8,Q80,4.4,3.3056282621861603,314.68913316654107,1312.3725240093163
Maize,0.8,Q80,4.5,3.3184007097677064,306.66012334477443,1308.1984118958874
Maize,0.8,Q80,4.6000000000000005,3.3284018032395575,297.956400830761,1302.513154876398
Maize,0.8,Q80,4.7,3.335631542601713,288.57796562450073,1295.3167529508473
Maize,0.8,Q80,4.800000000000001,3.340089927854175,278.524817725994,1286.6092061192367
Maize,0.8,Q80,4.9,3.341776958996941,267.7969571352404,1276.390514381565
Maize,0.8,Q80,5,3.340692636030012,256.39438385224,1264.6606777378324
Maize,0.8,Q80,5.1000000000000005,3.336836958953388,244.317097876993,1251.4196961880389
Maize,0.8,Q80,5.2,3.330209927767069,231.56509920949907,1236.6675697321848
Maize,0.8,Q80,5.300000000000001,3.3208115424710543,218.13838784975837,1220.4042983702698
Maize,0.8,Q80,5.4,3.3086418030653455,204.03696379777125,1202.6298821022942
Maize,0.8,Q80,5.5,3.2937007095499413,189.26082705353724,1183.344320928258
Maize,0.8,Q80,5.6000000000000005,3.2759882619248413,173.80997761705623,1162.5476148481603
Maize,0.8,Q80,5.7,3.2555044601900467,157.6844154883288,1140.2397638620023
Maize,0.8,Q80,5.800000000000001,3.2322493043455576,140.8841406673546,1116.4207679697838
Maize,0.8,Q80,5.9,3.206222794391373,123.4091531541336,1091.0906271715044
Maize,0.8,Q80,6,3.1774249303274926,105.25945294866574,1064.2493414671635
Maize,0.8,Q80,6.1000000000000005,3.145855712153918,86.4350400509511,1035.8969108567621
Maize,0.8,Q80,6.2,3.111515139870648,66.93591446098992,1006.0333353403003
Maize,0.8,Q80,6.300000000000001,3.0744032134776833,46.76207617878197,974.6586149177774
Maize,0.8,Q80,6.4,3.0345199329750234,25.913525204327243,941.7727495891941
Maize,0.8,Q80,6.5,2.9918652983626686,4.390261537625861,907.3757393545499
Maize,0.8,Q80,6.6000000000000005,2.9464393096406183,-17.807714821322406,871.4675842138446
Maize,0.8,Q80,6.7,2.898241966808874,-40.680403872517104,834.0482841670793
Maize,0.8,Q80,6.800000000000001,2.8472732698674315,-64.22780561595937,795.1178392142514
Maize,0.8,Q80,6.9,2.793533218816298,-88.44992005164727,754.6762493553649
Maize,0.8,Q80,7,2.737021813655468,-113.3467471795824,712.7235145904169
Beans,0.2,Q20,0.1,0.006029534145516356,-8.417241241652093,-5.043628782188876
Beans,0.2,Q20,0.2,0.011981439153587377,-16.869519274338153,-10.165728992148576
Beans,0.2,Q20,0.30000000000000004,0.017855715024213063,-25.35683409805818,-15.366300629879099
Beans,0.2,Q20,0.4,0.023652361757393412,-33.87918571281218,-20.64534369538045
Beans,0.2,Q20,0.5,0.029371379353128425,-42.43657411860014,-26.002858188652617
Beans,0.2,Q20,0.6000000000000001,0.035012767811418107,-51.028999315422084,-31.438844109695616
Beans,0.2,Q20,0.7000000000000001,0.04057652713226245,-59.656461303277986,-36.95330145850943
Beans,0.2,Q20,0.8,0.046062657315661455,-68.31896008216786,-42.54623023509408
Beans,0.2,Q20,0.9,0.05147115836161513,-77.01649565209169,-48.217630439449536
Beans,0.2,Q20,1,0.05680203027012347,-85.74906801304951,-53.96750207157582
Beans,0.2,Q20,1.1,0.06205527304118647,-94.5166771650413,-59.79584513147295
Beans,0.2,Q20,1.2000000000000002,0.06723088667480415,-103.31932310806704,-65.70265961914087
Beans,0.2,Q20,1.3,0.07232887117097647,-112.15700584212676,-71.68794553457965
Beans,0.2,Q20,1.4000000000000001,0.07734922652970347,-121.02972536722045,-77.75170287778923
Beans,0.2,Q20,1.5,0.08229195275098512,-129.9374816833481,-83.89393164876962
Beans,0.2,Q20,1.6,0.08715704983482146,-138.88027479050973,-90.11463184752085
Beans,0.2,Q20,1.7000000000000002,0.09194451778121245,-147.85810468870534,-96.41380347404294
Beans,0.2,Q20,1.8,0.0966543565901581,-156.87097137793486,-102.79144652833578
Beans,0.2,Q20,1.9000000000000001,0.10128656626165841,-165.91887485819842,-109.24756101039952
Beans,0.2,Q20,2,0.10584114679571338,-175.0018151294959,-115.78214692023403
Beans,0.2,Q20,2.1,0.11031809819232304,-184.11979219182737,-122.39520425783938
Beans,0.2,Q20,2.2,0.11471742045148735,-193.27280604519282,-129.08673302321557
Beans,0.2,Q20,2.3000000000000003,0.11903911357320633,-202.46085668959222,-135.85673321636256
Beans,0.2,Q20,2.4000000000000004,0.12328317755747997,-211.68394412502562,-142.7052048372804
Beans,0.2,Q20,2.5,0.12744961240430824,-220.94206835149294,-149.63214788596906
Beans,0.2,Q20,2.6,0.1315384181136912,-230.23522936899428,-156.63756236242855
Beans,0.2,Q20,2.7,0.13554959468562885,-239.56342717752955,-163.72144826665883
Beans,0.2,Q20,2.8000000000000003,0.13948314212012117,-248.92666177709881,-170.88380559865996
Beans,0.2,Q20,2.9000000000000004,0.14333906041716812,-258.324933167702,-178.12463435843188
Beans,0.2,Q20,3,0.14711734957676975,-267.7582413493392,-185.4439345459746
Beans,0.2,Q20,3.1,0.15081800959892605,-277.22658632201035,-192.84170616128824
Beans,0.2,Q20,3.2,0.154441040483637,-286.72996808571554,-200.3179492043727
Beans,0.2,Q20,3.3000000000000003,0.15798644223090264,-296.26838664045454,-207.87266367522787
Beans,0.2,Q20,3.4000000000000004,0.16145421484072292,-305.8418419862277,-215.50584957385396
Beans,0.2,Q20,3.5,0.16484435831309785,-315.4503341230347,-223.21750690025087
Beans,0.2,Q20,3.6,0.16815687264802748,-325.09386305087565,-231.00763565441852
Beans,0.2,Q20,3.7,0.17139175784551175,-334.77242876975066,-238.8762358363571
Beans,0.2,Q20,3.8000000000000003,0.17454901390555072,-344.48603127965964,-246.82330744606648
Beans,0.2,Q20,3.9000000000000004,0.1776286408281443,-354.2346705806025,-254.84885048354664
Beans,0.2,Q20,4,0.1806306386132926,-364.01834667257936,-262.9528649487976
Beans,0.2,Q20,4.1000000000000005,0.18355500726099552,-373.83705955559026,-271.1353508418195
Beans,0.2,Q20,4.2,0.1864017467712531,-383.690809229635,-279.3963081626121
Beans,0.2,Q20,4.3,0.18917085714406534,-393.5795956947138,-287.7357369111756
Beans,0.2,Q20,4.4,0.1918623383794323,-403.5034189508266,-296.15363708751
Beans,0.2,Q20,4.5,0.1944761904773539,-413.46227899797327,-304.65000869161497
Beans,0.2,Q20,4.6000000000000005,0.19701241343783016,-423.456175836154,-313.224851723491
Beans,0.2,Q20,4.7,0.19947100726086106,-433.4851094653687,-321.87816618313775
Beans,0.2,Q20,4.800000000000001,0.2018519719464467,-443.5490798856173,-330.6099520705553
Beans,0.2,Q20,4.9,0.2041553074945869,-453.64808709689987,-339.42020938574376
Beans,0.2,Q20,5,0.20638101390528182,-463.78213109921643,-348.308938128703
Beans,0.2,Q20,5.1000000000000005,0.20852909117853144,-473.951211892567,-357.2761382994331
Beans,0.2,Q20,5.2,0.21059953931433567,-484.1553294769515,-366.32180989793403
Beans,0.2,Q20,5.300000000000001,0.2125923583126946,-494.39448385237,-375.44595292420576
Beans,0.2,Q20,5.4,0.21450754817360818,-504.6686750188224,-384.64856737824823
Beans,0.2,Q20,5.5,0.2163451088970764,-514.9779029763088,-393.9296532600616
Beans,0.2,Q20,5.6000000000000005,0.2181050404830993,-525.3221677248292,-403.28921056964583
Beans,0.2,Q20,5.7,0.21978734293167687,-535.7014692643835,-412.7272393070008
Beans,0.2,Q20,5.800000000000001,0.22139201624280913,-546.1158075949718,-422.24373947212666
