lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,lime_price,price_ratio_obs,r_p,profit,profit_lo,profit_hi
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,5.75,29.224861015981737,-7.666130764840173,66.05180593607305
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,6,37.75980136986301,-0.735146575342459,76.1879178082192
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,6.25,46.29474172374428,6.195837614155255,86.32402968036529
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,6.5,54.829682077625556,13.12682180365297,96.46014155251143
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,6.75,63.364622431506824,20.057805993150684,106.59625342465752
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,7,71.89956278538814,26.988790182648422,116.73236529680365
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,7.25,80.43450313926942,33.919774372146136,126.86847716894975
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,7.5,88.96944349315069,40.85075856164385,137.0045890410959
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,7.75,97.50438384703196,47.781742751141564,147.14070091324197
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,8,106.03932420091324,54.71272694063928,157.27681278538813
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,8.25,114.57426455479451,61.643711130137014,167.41292465753426
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,8.5,123.10920490867578,68.5746953196347,177.54903652968034
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,8.75,131.64414526255706,75.50567950913245,187.6851484018265
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,9,140.17908561643833,82.43666369863013,197.82126027397257
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,9.25,148.71402597031965,89.36764788812788,207.95737214611873
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,9.5,157.24896632420092,96.29863207762556,218.0934840182648
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,9.75,165.7839066780822,103.2296162671233,228.22959589041096
1.5,0.3065,0.2489,0.364,Beans,111.38584474885845,4.052001145095452,10,174.31884703196346,110.16060045662098,238.36570776255704
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,0.5,-201.17954349315067,-205.12260239726027,-197.2364845890411
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,0.75,-190.38347049086758,-196.29805884703194,-184.46888213470316
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,1,-179.5873974885845,-187.47351529680367,-171.7012796803653
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,1.25,-168.7913244863014,-178.64897174657534,-158.93367722602738
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,1.5,-157.99525148401827,-169.82442819634701,-146.1660747716895
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,1.75,-147.19917848173517,-160.99988464611872,-133.39847231735158
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,2,-136.40310547945208,-152.17534109589042,-120.63086986301369
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,2.25,-125.60703247716894,-143.3507975456621,-107.8632674086758
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,2.5,-114.81095947488585,-134.52625399543376,-95.0956649543379
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,2.75,-104.01488647260275,-125.70171044520548,-82.3280625
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,3,-93.21881347031963,-116.87716689497715,-69.56046004566208
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,3.25,-82.42274046803654,-108.05262334474885,-56.792857591324186
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,3.5,-71.62666746575344,-99.22807979452054,-44.02525513698629
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,3.75,-60.83059446347031,-90.40353624429224,-31.25765268264839
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,4,-50.03452146118722,-81.57899269406391,-18.490050228310494
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,4.25,-39.238448458904124,-72.7544491438356,-5.722447773972597
2,0.3877,0.3169,0.4585,Beans,111.38584474885845,4.052001145095452,4.5,-28.442375456621,-63.9299055936073,7.0451546803653
