lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,lime_price_max,lime_price_max_lo,lime_price_max_hi,pct_above_current
4,0.6522,0.5646,0.7398,Soybean,570.9599999999999,111.38584474885845,208.50367713305096,180.4985834242879,236.50877084181403,87.19046177112001
4.5,0.6751,0.588,0.7623,Soybean,570.9599999999999,111.38584474885845,191.84412747626524,167.09279655761213,216.62387553719,72.23384884211814
5,0.685,0.6002,0.7698,Soybean,570.9599999999999,111.38584474885845,175.19168210504745,153.50371912328387,196.87964508681097,57.283613999653156
5.5,0.6819,0.601,0.7627,Soybean,570.9599999999999,111.38584474885845,158.5444034869699,139.73483867967286,177.3307179051356,42.338017765578584
6,0.6657,0.5894,0.742,Soybean,570.9599999999999,111.38584474885845,141.87968707704385,125.61797741206199,158.14139674202576,27.376766228186217
6.5,0.6365,0.5642,0.7088,Soybean,570.9599999999999,111.38584474885845,125.2212303872686,110.99735771327094,139.44510306126625,12.421134543266957
7,0.5943,0.5235,0.6651,Soybean,570.9599999999999,111.38584474885845,108.56769204904036,95.6338327236625,121.50155137441818,-2.530081543280631
0.5,0.0835,0.045,0.1219,Wheat,447.44000000000005,111.38584474885845,167.35492946520048,90.19127935250324,244.31815451266988,50.24793306773898
1,0.1579,0.0862,0.2296,Wheat,447.44000000000005,111.38584474885845,158.23558899733624,86.38320311317533,230.08797488149716,42.060770247880114
1.5,0.2233,0.1236,0.323,Wheat,447.44000000000005,111.38584474885845,149.18305688454797,82.57512687384742,215.79098689524855,33.9335866428188
2,0.2797,0.1572,0.4022,Wheat,447.44000000000005,111.38584474885845,140.14722686052863,78.76705063451949,201.5274030865378,25.821397841456825
2.5,0.3271,0.1867,0.4674,Wheat,447.44000000000005,111.38584474885845,131.11807767201694,74.83871935605491,187.3573509749334,17.71520696157464
3,0.3654,0.2123,0.5185,Wheat,447.44000000000005,111.38584474885845,122.05886472372106,70.9170689130979,173.20066053434417,9.582025435033563
3.5,0.3947,0.2335,0.5558,Wheat,447.44000000000005,111.38584474885845,113.01110463629534,66.856075329554,159.13750179086128,1.4591260596006332
4,0.4149,0.2504,0.5795,Wheat,447.44000000000005,111.38584474885845,103.94544945375999,62.733045416296704,145.18290662437676,-6.679839176938781
4.5,0.4262,0.2625,0.5899,Wheat,447.44000000000005,111.38584474885845,94.91240311120218,58.45731069143729,131.36749553096706,-14.789528844350839
5,0.4284,0.2692,0.5875,Wheat,447.44000000000005,111.38584474885845,85.86209794358308,53.95442755931972,117.74972582132368,-22.91471314225226
5.5,0.4215,0.2697,0.5734,Wheat,447.44000000000005,111.38584474885845,76.79924090319216,49.14058190175783,104.47612036510174,-31.051166262327744
6,0.4057,0.2625,0.5489,Wheat,447.44000000000005,111.38584474885845,67.7603741357603,43.84298301857797,91.67776525294266,-39.16608139163504
6.5,0.3808,0.2451,0.5165,Wheat,447.44000000000005,111.38584474885845,58.70912679903118,37.78783345179239,79.63042014626996,-47.29211155025794
7,0.3469,0.2139,0.4799,Wheat,447.44000000000005,111.38584474885845,49.66246794822757,30.622086751588004,68.70284914486714,-55.41402225731511
