crop,lime_tha,ph_quartile,n,mean_profit,se_profit,pct_profitable,mean_ph,lime_lab
Maize,1,Q3,46,128.9895408171091,31.00846689158346,80.43478260869566,5.64,T2 (1 t/ha)
Maize,1,"Q4
(least acid)",45,87.9038889800301,28.069397112178674,60,6.376,T2 (1 t/ha)
Maize,2.5,"Q1
(most acid)",48,99.177599718232,32.50199223331058,70.83333333333334,4.882083333333333,T3 (2.5 t/ha)
Maize,2.5,Q2,44,154.79266268768328,32.4548230795861,81.81818181818183,5.26,T3 (2.5 t/ha)
Maize,2.5,Q3,46,90.34764393012702,35.77588307319686,65.21739130434783,5.64,T3 (2.5 t/ha)
Maize,2.5,"Q4
(least acid)",45,-22.878545215068854,28.83480511125055,44.44444444444444,6.376,T3 (2.5 t/ha)
Maize,7,"Q1
(most acid)",48,-250.80105500199977,48.572637446142636,16.666666666666664,4.882083333333333,T4 (7 t/ha)
Maize,7,Q2,44,-306.407859395144,44.8915953697386,20.454545454545457,5.26,T4 (7 t/ha)
Maize,7,Q3,46,-372.46773471592223,44.9403548988843,13.043478260869565,5.64,T4 (7 t/ha)
Maize,7,"Q4
(least acid)",45,-412.6297781777211,39.00341236542181,6.666666666666667,6.376,T4 (7 t/ha)
Soybean,1,"Q1
(most acid)",11,114.20020408231025,21.52979717106217,100,5.149090909090909,T2 (1 t/ha)
Soybean,1,Q2,10,133.23778021114057,28.108453231359693,100,5.345,T2 (1 t/ha)
Soybean,1,Q3,10,77.77244197114156,55.46569034879912,70,5.48,T2 (1 t/ha)
Soybean,1,"Q4
(least acid)",10,87.22840960542754,35.33458612290131,70,5.692,T2 (1 t/ha)
Soybean,2.5,"Q1
(most acid)",11,73.0612726369452,48.05394200907878,63.63636363636363,5.149090909090909,T3 (2.5 t/ha)
Soybean,2.5,Q2,10,34.75599631070998,21.615970868316623,70,5.345,T3 (2.5 t/ha)
Soybean,2.5,Q3,10,-60.23869717500339,35.328600942944966,30,5.48,T3 (2.5 t/ha)
Soybean,2.5,"Q4
(least acid)",10,-17.62876803214575,25.961558953109254,30,5.692,T3 (2.5 t/ha)
Soybean,7,"Q1
(most acid)",11,-299.18928211473775,59.33986546552637,9.090909090909092,5.149090909090909,T4 (7 t/ha)
Soybean,7,Q2,10,-419.85016499058065,33.752715646875956,0,5.345,T4 (7 t/ha)
Soybean,7,Q3,10,-485.97777340201014,39.054303808481016,0,5.48,T4 (7 t/ha)
Soybean,7,"Q4
(least acid)",10,-453.4461039162956,32.602451438713125,0,5.692,T4 (7 t/ha)
Wheat,1,"Q1
(most acid)",10,-32.11226074885936,59.26841020492024,50,5.025,T2 (1 t/ha)
Wheat,1,Q2,8,30.64371039399908,61.232040829640624,50,5.23625,T2 (1 t/ha)
Wheat,1,Q3,10,33.17235581760094,36.91270152282734,60,5.476,T2 (1 t/ha)
Wheat,1,"Q4
(least acid)",8,-42.231422053205655,38.62914006470809,37.5,6.08625,T2 (1 t/ha)
Wheat,2.5,"Q1
(most acid)",10,-253.39409210071793,94.18550599942543,10,5.025,T3 (2.5 t/ha)
Wheat,2.5,Q2,8,-66.69947815785986,67.46273555640626,37.5,5.23625,T3 (2.5 t/ha)
Wheat,2.5,Q3,10,-42.015130470903046,44.407255948466805,30,5.476,T3 (2.5 t/ha)
Wheat,2.5,"Q4
(least acid)",8,-160.7788795491648,46.46065134299746,12.5,6.08625,T3 (2.5 t/ha)
Wheat,7,"Q1
(most acid)",10,-753.6922304991514,104.27300609729788,0,5.025,T4 (7 t/ha)
Wheat,7,Q2,8,-572.4727298134372,76.96588897372922,0,5.23625,T4 (7 t/ha)
Wheat,7,Q3,10,-564.627915557537,60.24182771499801,0,5.476,T4 (7 t/ha)
Wheat,7,"Q4
(least acid)",8,-525.6385557389041,69.1572768302802,0,6.08625,T4 (7 t/ha)
