crop,tau,tau_lab,lime_tha,yield_resp
Beans,0.2,Q20,6.800000000000001,0.23316914679463802
Beans,0.2,Q20,6.9,0.23391989959387155
Beans,0.2,Q20,7,0.23459302325565975
Beans,0.5,Q50,0,0
Beans,0.5,Q50,0.1,0.016634920634849705
Beans,0.5,Q50,0.2,0.032994708994569126
Beans,0.5,Q50,0.30000000000000004,0.04907936507915827
Beans,0.5,Q50,0.4,0.06488888888861713
Beans,0.5,Q50,0.5,0.0804232804229457
Beans,0.5,Q50,0.6000000000000001,0.095682539682144
Beans,0.5,Q50,0.7000000000000001,0.11066666666621201
Beans,0.5,Q50,0.8,0.12537566137514974
Beans,0.5,Q50,0.9,0.1398095238089572
Beans,0.5,Q50,1,0.15396825396763433
Beans,0.5,Q50,1.1,0.16785185185118126
Beans,0.5,Q50,1.2000000000000002,0.18146031745959784
Beans,0.5,Q50,1.3,0.19479365079288413
Beans,0.5,Q50,1.4000000000000001,0.2078518518510402
Beans,0.5,Q50,1.5,0.22063492063406592
Beans,0.5,Q50,1.6,0.23314285714196137
Beans,0.5,Q50,1.7000000000000002,0.2453756613747266
Beans,0.5,Q50,1.8,0.25733333333236147
Beans,0.5,Q50,1.9000000000000001,0.26901587301486607
Beans,0.5,Q50,2,0.2804232804222404
Beans,0.5,Q50,2.1,0.2915555555544845
Beans,0.5,Q50,2.2,0.30241269841159824
Beans,0.5,Q50,2.3000000000000003,0.3129947089935818
Beans,0.5,Q50,2.4000000000000004,0.32330158730043496
Beans,0.5,Q50,2.5,0.33333333333215787
Beans,0.5,Q50,2.6,0.3430899470887505
Beans,0.5,Q50,2.7,0.3525714285702129
Beans,0.5,Q50,2.8000000000000003,0.3617777777765449
Beans,0.5,Q50,2.9000000000000004,0.37070899470774676
Beans,0.5,Q50,3,0.3793650793638182
Beans,0.5,Q50,3.1,0.3877460317447594
Beans,0.5,Q50,3.2,0.3958518518505704
Beans,0.5,Q50,3.3000000000000003,0.40368253968125106
Beans,0.5,Q50,3.4000000000000004,0.41123809523680144
Beans,0.5,Q50,3.5,0.41851851851722155
Beans,0.5,Q50,3.6,0.42552380952251134
Beans,0.5,Q50,3.7,0.4322539682526709
Beans,0.5,Q50,3.8000000000000003,0.4387089947077002
Beans,0.5,Q50,3.9000000000000004,0.44488888888759914
Beans,0.5,Q50,4,0.45079365079236783
Beans,0.5,Q50,4.1000000000000005,0.45642328042200625
Beans,0.5,Q50,4.2,0.4617777777765143
Beans,0.5,Q50,4.3,0.46685714285589214
Beans,0.5,Q50,4.4,0.4716613756601397
Beans,0.5,Q50,4.5,0.4761904761892569
Beans,0.5,Q50,4.6000000000000005,0.48044444444324397
Beans,0.5,Q50,4.7,0.48442328042210064
Beans,0.5,Q50,4.800000000000001,0.4881269841258271
Beans,0.5,Q50,4.9,0.49155555555442315
Beans,0.5,Q50,5,0.49470899470788904
Beans,0.5,Q50,5.1000000000000005,0.49758730158622466
Beans,0.5,Q50,5.2,0.5001904761894299
Beans,0.5,Q50,5.300000000000001,0.502518518517505
Beans,0.5,Q50,5.4,0.5045714285704496
Beans,0.5,Q50,5.5,0.5063492063482641
Beans,0.5,Q50,5.6000000000000005,0.5078518518509483
Beans,0.5,Q50,5.7,0.509079365078502
Beans,0.5,Q50,5.800000000000001,0.5100317460309257
Beans,0.5,Q50,5.9,0.5107089947082191
Beans,0.5,Q50,6,0.511111111110382
Beans,0.5,Q50,6.1000000000000005,0.5112380952374148
Beans,0.5,Q50,6.2,0.5110899470893173
Beans,0.5,Q50,6.300000000000001,0.5106666666660894
Beans,0.5,Q50,6.4,0.5099682539677314
Beans,0.5,Q50,6.5,0.508994708994243
Beans,0.5,Q50,6.6000000000000005,0.5077460317456243
Beans,0.5,Q50,6.7,0.5062222222218754
Beans,0.5,Q50,6.800000000000001,0.504423280422996
Beans,0.5,Q50,6.9,0.5023492063489865
Beans,0.5,Q50,7,0.49999999999984684
Beans,0.8,Q80,0,0
Beans,0.8,Q80,0.1,0.040549686200957884
Beans,0.8,Q80,0.2,0.08034652387279083
Beans,0.8,Q80,0.30000000000000004,0.11939051301549887
Beans,0.8,Q80,0.4,0.15768165362908196
Beans,0.8,Q80,0.5,0.1952199457135401
Beans,0.8,Q80,0.6000000000000001,0.23200538926887337
Beans,0.8,Q80,0.7000000000000001,0.2680379842950817
Beans,0.8,Q80,0.8,0.30331773079216506
Beans,0.8,Q80,0.9,0.3378446287601235
Beans,0.8,Q80,1,0.371618678198957
Beans,0.8,Q80,1.1,0.4046398791086656
Beans,0.8,Q80,1.2000000000000002,0.4369082314892493
Beans,0.8,Q80,1.3,0.468423735340708
Beans,0.8,Q80,1.4000000000000001,0.4991863906630419
Beans,0.8,Q80,1.5,0.5291961974562506
Beans,0.8,Q80,1.6,0.5584531557203346
Beans,0.8,Q80,1.7000000000000002,0.5869572654552937
Beans,0.8,Q80,1.8,0.6147085266611277
Beans,0.8,Q80,1.9000000000000001,0.6417069393378368
Beans,0.8,Q80,2,0.6679525034854211
Beans,0.8,Q80,2.1,0.6934452191038805
Beans,0.8,Q80,2.2,0.7181850861932149
Beans,0.8,Q80,2.3000000000000003,0.7421721047534242
Beans,0.8,Q80,2.4000000000000004,0.7654062747845088
Beans,0.8,Q80,2.5,0.7878875962864683
Beans,0.8,Q80,2.6,0.8096160692593029
Beans,0.8,Q80,2.7,0.8305916937030128
Beans,0.8,Q80,2.8000000000000003,0.8508144696175975
Beans,0.8,Q80,2.9000000000000004,0.8702843970030574
Beans,0.8,Q80,3,0.8890014758593923
Beans,0.8,Q80,3.1,0.9069657061866022
Beans,0.8,Q80,3.2,0.9241770879846875
Beans,0.8,Q80,3.3000000000000003,0.9406356212536475
Beans,0.8,Q80,3.4000000000000004,0.9563413059934828
Beans,0.8,Q80,3.5,0.9712941422041931
Beans,0.8,Q80,3.6,0.9854941298857783
Beans,0.8,Q80,3.7,0.9989412690382388
Beans,0.8,Q80,3.8000000000000003,1.0116355596615743
Beans,0.8,Q80,3.9000000000000004,1.0235770017557848
Beans,0.8,Q80,4,1.0347655953208705
Beans,0.8,Q80,4.1000000000000005,1.0452013403568312
Beans,0.8,Q80,4.2,1.0548842368636668
Beans,0.8,Q80,4.3,1.0638142848413779
Beans,0.8,Q80,4.4,1.0719914842899638
Beans,0.8,Q80,4.5,1.0794158352094247
Beans,0.8,Q80,4.6000000000000005,1.086087337599761
Beans,0.8,Q80,4.7,1.0920059914609719
Beans,0.8,Q80,4.800000000000001,1.097171796793058
Beans,0.8,Q80,4.9,1.1015847535960195
Beans,0.8,Q80,5,1.1052448618698558
Beans,0.8,Q80,5.1000000000000005,1.108152121614567
Beans,0.8,Q80,5.2,1.110306532830154
Beans,0.8,Q80,5.300000000000001,1.1117080955166156
Beans,0.8,Q80,5.4,1.112356809673952
Beans,0.8,Q80,5.5,1.1122526753021635
Beans,0.8,Q80,5.6000000000000005,1.1113956924012502
Beans,0.8,Q80,5.7,1.1097858609712121
Beans,0.8,Q80,5.800000000000001,1.1074231810120494
Beans,0.8,Q80,5.9,1.1043076525237614
Beans,0.8,Q80,6,1.1004392755063483
Beans,0.8,Q80,6.1000000000000005,1.0958180499598102
Beans,0.8,Q80,6.2,1.0904439758841473
Beans,0.8,Q80,6.300000000000001,1.0843170532793596
Beans,0.8,Q80,6.4,1.0774372821454472
Beans,0.8,Q80,6.5,1.0698046624824098
Beans,0.8,Q80,6.6000000000000005,1.0614191942902471
Beans,0.8,Q80,6.7,1.0522808775689596
Beans,0.8,Q80,6.800000000000001,1.0423897123185473
Beans,0.8,Q80,6.9,1.03174569853901
Beans,0.8,Q80,7,1.0203488362303479
Soybean,0.2,Q20,0,0
Soybean,0.2,Q20,0.1,0.018535843634254045
Soybean,0.2,Q20,0.2,0.03672055744113812
Soybean,0.2,Q20,0.30000000000000004,0.05455414142065224
Soybean,0.2,Q20,0.4,0.07203659557279637
Soybean,0.2,Q20,0.5,0.08916791989757054
Soybean,0.2,Q20,0.6000000000000001,0.10594811439497477
Soybean,0.2,Q20,0.7000000000000001,0.12237717906500899
Soybean,0.2,Q20,0.8,0.13845511390767326
Soybean,0.2,Q20,0.9,0.15418191892296754
Soybean,0.2,Q20,1,0.16955759411089188
Soybean,0.2,Q20,1.1,0.18458213947144625
Soybean,0.2,Q20,1.2000000000000002,0.19925555500463066
Soybean,0.2,Q20,1.3,0.21357784071044505
Soybean,0.2,Q20,1.4000000000000001,0.2275489965888895
Soybean,0.2,Q20,1.5,0.24116902263996398
Soybean,0.2,Q20,1.6,0.2544379188636685
Soybean,0.2,Q20,1.7000000000000002,0.26735568526000303
Soybean,0.2,Q20,1.8,0.27992232182896765
Soybean,0.2,Q20,1.9000000000000001,0.2921378285705623
Soybean,0.2,Q20,2,0.3040022054847869
Soybean,0.2,Q20,2.1,0.3155154525716416
Soybean,0.2,Q20,2.2,0.32667756983112634
Soybean,0.2,Q20,2.3000000000000003,0.3374885572632411
Soybean,0.2,Q20,2.4000000000000004,0.34794841486798583
Soybean,0.2,Q20,2.5,0.3580571426453606
Soybean,0.2,Q20,2.6,0.36781474059536545
Soybean,0.2,Q20,2.7,0.3772212087180003
Soybean,0.2,Q20,2.8000000000000003,0.38627654701326525
Soybean,0.2,Q20,2.9000000000000004,0.3949807554811602
Soybean,0.2,Q20,3,0.4033338341216851
Soybean,0.2,Q20,3.1,0.41133578293484013
Soybean,0.2,Q20,3.2,0.4189866019206251
Soybean,0.2,Q20,3.3000000000000003,0.42628629107904015
Soybean,0.2,Q20,3.4000000000000004,0.4332348504100853
Soybean,0.2,Q20,3.5,0.4398322799137604
Soybean,0.2,Q20,3.6,0.4460785795900656
Soybean,0.2,Q20,3.7,0.45197374943900076
Soybean,0.2,Q20,3.8000000000000003,0.45751778946056604
Soybean,0.2,Q20,3.9000000000000004,0.4627106996547612
Soybean,0.2,Q20,4,0.46755248002158645
Soybean,0.2,Q20,4.1000000000000005,0.4720431305610418
Soybean,0.2,Q20,4.2,0.47618265127312714
Soybean,0.2,Q20,4.3,0.47997104215784253
Soybean,0.2,Q20,4.4,0.48340830321518796
Soybean,0.2,Q20,4.5,0.4864944344451634
Soybean,0.2,Q20,4.6000000000000005,0.48922943584776885
Soybean,0.2,Q20,4.7,0.4916133074230043
Soybean,0.2,Q20,4.800000000000001,0.4936460491708699
Soybean,0.2,Q20,4.9,0.49532766109136545
Soybean,0.2,Q20,5,0.49665814318449103
